"流程阶段","维度","正向套利已实现逻辑","反向套利当前状态","反向套利目标设计","风控/旁路要求","主要代码/配置位置","实现状态"
"总体","策略方向","买 Binance spot + 空 Gate futures，赚正 funding，基差收敛时平仓","只读机会扫描与交易信号监控已实现，真实开仓/平仓执行未实现","借 Binance cross margin 币卖出现货 + 多 Gate futures，赚负 funding，基差扩张或收益达标时平仓","正向与反向必须使用独立账户、状态、信号、持仓、订单与风控命名空间","src/calc/trading_executor.py; src/calc/closing_executor.py; src/calc/reverse_arbitrage.py; src/calc/reverse_signal_monitor.py; src/common/strategy_accounts.py","反向部分待实现交易闭环"
"账户隔离","API Key","正向真实执行器和对账只使用 FORWARD_BINANCE_API_KEY / FORWARD_GATE_FUTURES_API_KEY，缺失即失败","反向借币数据读取使用 REVERSE_BINANCE_API_KEY，反向 Gate key 已可校验但未进入执行器","反向执行器必须使用 REVERSE_BINANCE_API_KEY + REVERSE_GATE_FUTURES_API_KEY","正向和反向均禁止回退到其他账户；生产 .env 必须配置两套 key","src/common/strategy_accounts.py; src/api/real_executor_service.py; src/api/orderbook_server.py; src/calc/reconciliation.py","已实现账户读取隔离"
"账户隔离","资金账户域","Binance Spot 放 USDT/BNB；Gate Futures 放合约保证金","Binance Reverse Cross Margin 已可读借币/利率/额度；Gate Reverse Futures 已可读","Binance Cross Margin 做借币卖出与买回还币；Gate Futures 做多和平多","资金监控/持仓对账后续应按 strategy 拆分，不共享正向账户假设","src/scripts/verify_strategy_api_keys.py; 后续新增 reverse reconciliation/capital 模块","部分实现"
"开仓","盘口方向","Binance spot ask 买入 + Gate future bid 卖出","已计算反向开仓指标","Binance spot bid 卖出借币 + Gate future ask 买入","双边盘口必须完整，coverage 必须达标","src/calc/orderbook_enricher.py; src/calc/reverse_arbitrage.py","反向只读已实现"
"开仓","基差定义","open_vwap_basis_bps = calc_vwap_basis_bps(spot_open_vwap, future_open_vwap)，正向越高越有利","reverse_basis_bps 使用 spot bid + future ask 计算，反向越低越有利","反向开仓基差越低越好，触发后等待触底反弹固定百分比再开","所有页面过滤条件必须与后端开仓逻辑一致","src/calc/reverse_arbitrage.py; frontend/src/views/ReverseArbitrage.vue","反向扫描已实现，执行待实现"
"开仓","候选前置条件","盘口完整、正 funding 达标、持仓上限、盘口覆盖、成交量、交易所风险状态等","反向当前要求：盘口完整、24h funding < 0、借币数据存在、可借、额度足够、盘口覆盖足够、边际盈亏>=0","反向候选只把满足前置条件的标的写入交易信号并进入 monitoring，不满足的缺盘口/不可借/边际亏损不入交易信号","前置拒绝不应污染交易信号表；仅机会扫描页面展示","src/calc/reverse_arbitrage.py; src/calc/reverse_signal_monitor.py","反向基本已实现"
"开仓","Funding 判断","24h funding rate >= trade.open.min_funding_rate_bps；实时 REST 复核后覆盖本轮信号","24h funding rate < 0 等价于可收 funding > 0","反向使用负费率过滤：funding_rate_24h < 0，gross_funding_bps = abs(rate)*10000","开仓前旁路需要再次用最新合约数据复核 funding","src/calc/trading_executor.py; src/calc/reverse_arbitrage.py","反向扫描已实现，旁路待增强"
"开仓","预期收益/边际盈亏","entry_floor 将 funding 折扣、p20、手续费、滑点缓冲合成统一门槛","reverse_margin_edge_bps 已按边际盈亏公式计算","边际盈亏bps = -1 * 24h funding rate * funding_capture_ratio * 10000 + min(reverse_open_p20, reverse_close_p20) - reverse_open_basis_bps - 24h借币成本 - 手续费；要求 >=0","funding_capture_ratio 当前配置为 0.5；不要把 0.5 表达成 12h 业务含义","src/calc/reverse_arbitrage.py; src/config/config.yaml reverse_arbitrage.funding_capture_ratio","已实现扫描口径"
"开仓","FundingCarry","正向有 FundingCarry：临近结算、24h funding 足够、basis 接近阈值时可跳过触顶回调","反向已有 funding_carry_pass 字段和入口配置，但只到信号观察态","反向 FundingCarry：min_24h_bps=80，max_next_funding_min=60，min_margin_edge_bps=50，basis_relax_bps=30","仍必须经过盘口恢复、最终旁路和执行保护；不能绕过账户/借币/覆盖风控","src/calc/reverse_arbitrage.py; src/calc/reverse_signal_monitor.py; src/config/config.yaml reverse_arbitrage.funding_carry","反向信号层已实现，执行待实现"
"开仓","形态确认","正向支持 momentum、pullback、resiliency、rebound、strong cushion、FundingCarry","反向当前支持 valley_rebound 与 funding_carry 的 monitoring/ready_to_open 记录","反向默认参照正向回调逻辑取反：基差向下触底后，从谷底反弹达到 valley_rebound_pct/min_rebound_bps/sustain 后才可开仓","反向形态状态必须在 ReverseSignalMonitor 内部，不复用 TradingExecutor 的 peak 状态","src/calc/reverse_signal_monitor.py","部分实现"
